"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"231",31.5059466666667,45.9,1010,7,12,201,0.2,"15:00",1010,18.4,35.4,63.6,23.9,25.3,15,29,12,196,0.6,1010,4.4,27.7,34.4,29.4,15.4,13,65,12,215,1.6,1010,4.7,26.3,33.5,35.9,17.8,11,107,12,211,1.1
"232",34.95158,55.9,1011,-2,11,197,0.2,"16:00",1010,4.1,45.9,52.1,11,25.7,14,7,12,201,0.2,1010,18.4,35.4,63.6,23.9,25.3,15,29,12,196,0.6,1010,4.4,27.7,34.4,29.4,15.4,13,65,12,215,1.6
"238",32.6837033333334,38.7,1020,329,10,303,1.5,"14:00",1020,5.6,33.5,42.1,23.9,26.9,16,356,10,303,1.6,1020,7.8,34.4,46.4,23.9,23.3,15,133,10,290,1.6,1019,12.8,43,62.6,13.5,24,16,140,9,284,1.7
"242",51.86133,47.8,991,164,-1,258,1.4,"10:00",991,26.5,54.5,95.1,6.5,20.2,14,107,-1,283,1.5,991,30.2,63.1,109.5,3.5,17.1,13,10,-2,297,1.3,990,10.3,45.4,61.2,13,16.8,12,-4,-1,297,1.8
"244",44.5905166666666,47.8,991,140,0,257,2,"12:00",991,15.6,45.9,69.8,15,19.1,15,149,-1,250,1.9,991,17.8,47.8,75.1,13.5,18.2,16,164,-1,258,1.4,991,26.5,54.5,95.1,6.5,20.2,14,107,-1,283,1.5
"245",44.8489833333333,43,990,442,2,247,1.8,"13:00",991,13.1,47.8,67.9,14,23.9,16,140,0,257,2,991,15.6,45.9,69.8,15,19.1,15,149,-1,250,1.9,991,17.8,47.8,75.1,13.5,18.2,16,164,-1,258,1.4
"246",43.0607099999999,52.6,990,357,2,260,1.6,"14:00",990,9,43,56.9,14,23.1,17,442,2,247,1.8,991,13.1,47.8,67.9,14,23.9,16,140,0,257,2,991,15.6,45.9,69.8,15,19.1,15,149,-1,250,1.9
"254",43.4073966666666,53.5,981,5,2,85,0.7,"14:00",982,20,40.6,71.2,22.5,23.5,18,22,2,119,1.3,983,15,36.3,59.3,25.9,21.9,18,36,2,104,1,984,14,38.3,59.8,25.4,25.2,18,52,1,105,1.2
"262",50.7376733333333,57.9,980,338,3,259,1.1,"14:00",979,23.7,55.5,91.8,8.5,20.1,16,408,2,236,2,979,39.3,51.6,111.9,6,22.4,17,120,1,235,2,980,47.4,58.3,131,4,23,19,97,0,232,2.2
"271",43.30149,46.9,982,28,4,130,1.9,"15:00",982,9.1,45.3,59.3,8,25.3,19,40,3,119,0.9,983,17.5,53.5,80.3,9.5,24.5,21,68,3,91,0.6,983,7.8,37.8,49.7,15.5,21.8,17,62,2,99,0.3
