"","predict","X","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"42",141.883767632905,163,"GR4","19/10/2009 11:00",1016,3.7,23,28.7,33.9,25.9,24,267,11,193,0.7,"11:00",11,"2009-10-19",2009,10,42,"Monday",1017,3.7,23.9,29.6,37.9,24.4,16,244,10,223,0.6,1017,29.6,55.9,101.4,10,40.1,26,210,8,230,0.9,1018,120.7,71.7,256.79999,2,50.3,29,93,5,242,0.4
"43",182.003897086884,170,"GR4","20/10/2009 10:00",1006,7.8,22,33.9,18,32.8,24,59,11,201,0.7,"10:00",10,"2009-10-20",2009,10,42,"Tuesday",1007,10,22,37.3,17,32.4,20,47,10,119,0.4,1007,12.5,24.9,44,10.5,28.8,19,31,8,108,0.3,1008,15.9,32,56.4,5.5,30,20,6,8,89,0.4
"44",196.559303975043,173,"GR4","20/10/2009 13:00",1004,8.7,15.8,29.2,30.9,33.4,22,65,12,175,0.8,"13:00",13,"2009-10-20",2009,10,42,"Tuesday",1005,11.8,16.3,34.4,28.4,32.3,23,128,12,176,1.2,1006,9,16.7,30.6,26.4,31.1,22,74,11,185,0.4,1006,7.8,22,33.9,18,32.8,24,59,11,201,0.7
"45",182.07354695984,174,"GR4","20/10/2009 14:00",1004,5,15.8,23.4,31.4,34.3,23,79,12,170,0.9,"14:00",14,"2009-10-20",2009,10,42,"Tuesday",1004,8.7,15.8,29.2,30.9,33.4,22,65,12,175,0.8,1005,11.8,16.3,34.4,28.4,32.3,23,128,12,176,1.2,1006,9,16.7,30.6,26.4,31.1,22,74,11,185,0.4
"46",179.206394360666,180,"GR4","21/10/2009 12:00",989,6.9,31.6,42.1,20.5,20.4,17,73,12,132,3.1,"12:00",12,"2009-10-21",2009,10,42,"Wednesday",990,8.4,36.3,49.2,18.5,20.7,18,86,11,132,2.8,990,29.6,44.9,90.4,4.5,29.9,24,66,10,129,1.9,990,23.1,44,79.4,4,24.6,21,57,10,129,2
"47",191.334614836119,184,"GR4","21/10/2009 16:00",989,4.4,40.6,47.3,19,19.7,18,9,12,127,1.7,"16:00",16,"2009-10-21",2009,10,42,"Wednesday",988,5.9,35.9,44.9,24.9,18.3,16,47,12,104,2,988,5,31.6,39.2,30.4,16.2,14,223,13,141,2.8,988,6.9,31.6,42.1,23.4,17.8,15,120,12,140,3.4
"48",206.172487879037,191,"GR4","22/10/2009 15:00",987,5.6,21,29.6,38.9,29.8,19,18,12,124,1.2,"15:00",15,"2009-10-22",2009,10,42,"Thursday",987,2.2,11.5,14.8,52.4,25,18,41,12,138,1.4,988,3.7,7.7,13.4,56.4,20,15,51,13,129,1.2,988,2.5,7.7,11.5,57.4,20.6,16,48,13,133,1.1
"49",203.678931449349,197,"GR4","23/10/2009 13:00",990,5.3,13.9,22,47.9,22.4,15,492,15,136,2.3,"13:00",13,"2009-10-23",2009,10,42,"Friday",990,6.5,17.2,27.3,44.9,22.3,17,508,15,152,1.5,990,4.7,17.2,24.4,43.4,23.6,14,350,15,140,1.6,990,5,16.3,23.9,42.4,23.5,15,378,15,184,1
"50",219.02704209544,201,"GR4","07/12/2009 09:00",984,2.2,9.1,12.4,51.9,20.7,10,11,10,227,3.1,"09:00",9,"2009-12-07",2009,12,49,"Monday",983,4.4,16.7,23.4,48.4,22.1,12,1,12,190,2.7,983,1.6,14.8,17.2,49.4,23.6,9,-2,12,208,2.7,983,1.2,11,12.9,50.4,23.2,14,-2,12,204,3.5
"51",213.975637766879,206,"GR4","07/12/2009 14:00",990,1.6,10,12.4,47.4,22.7,12,274,11,229,3.9,"14:00",14,"2009-12-07",2009,12,49,"Monday",989,0.9,7.7,9.1,48.9,19.1,11,392,11,217,4,988,1.9,5.7,8.6,49.9,22,11,158,11,207,4.4,987,1.2,5.7,7.7,52.4,20.3,11,207,10,208,3.7
