,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
162,28/02/2007 14:00,0.3,93.9,94.1,237.3,39.9,124,10,251,7.5
163,28/02/2007 15:00,0.5,63,78.1,174.2,39.9,106,11,239,6.8
164,28/02/2007 16:00,0.3,9,38,52.1,55.9,72,11,247,9.3
165,28/02/2007 17:00,0.3,9,36,50.1,55.9,6,11,248,8.8
166,28/02/2007 18:00,0.3,8,36,48.1,57.9,0,11,253,9
167,28/02/2007 19:00,0.3,10,42.1,57.1,49.9,0,11,250,8.3
168,28/02/2007 20:00,0.3,10,46.1,61.1,45.9,0,10,246,7
169,28/02/2007 21:00,0.5,15,63.1,86.1,25.9,0,10,234,5.5
170,28/02/2007 22:00,0.3,5,40.1,48.1,53.9,0,10,247,5.8
171,28/02/2007 23:00,0.2,5,23,31,63.9,0,8,244,4
172,1/3/07 1:00,0.2,1,4,6,75.8,0,6,262,4.8
173,1/3/07 2:00,0.2,1,6,8,69.8,0,6,265,5
174,1/3/07 3:00,0.2,1,11,13,61.9,0,6,252,5.3
175,1/3/07 4:00,0.2,3,13,17,61.9,0,6,257,5.8
176,1/3/07 5:00,0.2,5,15,23,63.9,0,5,265,6.5
177,1/3/07 6:00,0.3,21,50.1,82.1,39.9,3,5,259,6
178,1/3/07 7:00,0.2,35,61.1,115.2,29.9,62,5,260,6.5
179,1/3/07 8:00,0.3,38,48.1,105.1,39.9,177,6,260,7.5
180,1/3/07 9:00,0.2,31,44.1,92.1,43.9,299,8,263,8.3
181,1/3/07 10:00,0.2,36,44.1,99.1,41.9,294,9,268,9.3
182,1/3/07 11:00,0.2,26,36,76.1,51.9,411,10,275,9.3
183,1/3/07 12:00,0.3,23,34,69.1,53.9,314,10,282,8.3
184,1/3/07 13:00,0.3,23,38,73.1,49.9,209,10,280,7.8
185,1/3/07 14:00,0.3,25,42.1,80.1,47.9,138,11,285,6.3
186,1/3/07 15:00,0.3,29,46.1,90.1,41.9,46,10,292,5
187,1/3/07 16:00,0.5,34,57.1,109.1,33.9,41,10,286,5
188,1/3/07 17:00,0.5,26,59.1,99.1,25.9,5,9,277,4.8
189,1/3/07 18:00,0.3,20,53.1,84.1,27.9,0,7,274,4.5
190,1/3/07 19:00,0.3,23,59.1,94.1,22,0,6,275,4.5
191,1/3/07 20:00,0.3,11,53.1,71.1,18,0,5,273,4
192,1/3/07 21:00,0.3,16,52.1,76.1,20,0,5,274,3.8
193,1/3/07 22:00,0.3,29,65.1,109.1,18,0,5,284,3.5
194,1/3/07 23:00,0.3,21,59.1,92.1,16,0,4,289,3
195,2/3/07 1:00,0.3,3,31,34,22,0,1,273,3
196,2/3/07 2:00,0.2,1,29,31,20,0,0,272,2.8
197,2/3/07 3:00,0.2,3,32,36,16,0,0,271,2.3
198,2/3/07 4:00,0.3,26,52.1,92.1,10,0,0,275,2
199,2/3/07 5:00,0.3,30,57.1,103.1,6,0,0,215,2
200,2/3/07 6:00,0.7,103.9,82.1,241.3,4,4,0,217,2
201,2/3/07 7:00,0.6,130.89999,88.1,288.39999,4,66,1,236,2
202,2/3/07 8:00,0.8,137.89999,88.1,298.39999,8,177,4,234,1.8
203,2/3/07 9:00,0.8,119.9,88.1,271.39999,14,291,7,208,2
204,2/3/07 10:00,0.5,99.9,86.1,239.3,25.9,381,10,199,3.3
205,2/3/07 11:00,0.3,80,86.1,208.3,37.9,447,11,207,4.8
